dataset,measure,stat.o,p.value
EWAS52,sd.m,3.495497345,0.419
EWAS53,chr,2.083929386,0.496
EWAS53,cpg.loc,1.434313663,0.716
EWAS53,dhs,1.503916955,0.631
EWAS53,dip,3.836463896,0.34
EWAS53,direction,10.73947599,0.001
EWAS53,mad,5.284398462,0.104
EWAS53,mean,8.075725264,0.007
EWAS53,precision,4.423967679,0.237
EWAS53,probe.type,8.380564411,0.001
EWAS53,refgene.pos,1.57742067,0.681
EWAS53,sd.b,5.213242583,0.141
EWAS53,sd.m,2.918660781,0.631
EWAS54,chr,1.539378842,0.665
EWAS54,cpg.loc,1.789297647,0.575
EWAS54,dhs,1.012220392,0.824
EWAS54,dip,3.411060308,0.434
EWAS54,direction,1.618086011,0.532
EWAS54,mad,2.231830387,0.84
EWAS54,mean,3.381016139,0.463
EWAS54,precision,1.89104695,0.917
EWAS54,probe.type,2.40987706,0.265
EWAS54,refgene.pos,2.477271641,0.351
EWAS54,sd.b,3.708957129,0.411
EWAS54,sd.m,1.958691719,0.921
EWAS55,chr,1.749335512,0.582
EWAS55,cpg.loc,15.83818508,0.001
EWAS55,dhs,2.993705665,0.172
EWAS55,dip,3.451344619,0.454
EWAS55,direction,13.0306918,0.001
EWAS55,mad,25.50302587,0.001
EWAS55,mean,19.20077096,0.001
EWAS55,precision,24.94186236,0.001
EWAS55,probe.type,11.9498201,0.001
EWAS55,refgene.pos,2.956746761,0.223
EWAS55,sd.b,26.59396649,0.001
EWAS55,sd.m,11.65956724,0.002
EWAS56,chr,2.507601974,0.332
EWAS56,cpg.loc,10.00810902,0.004
EWAS56,dhs,2.796781925,0.205
EWAS56,dip,3.552431709,0.416
EWAS56,direction,6.928168936,0.003
EWAS56,mad,62.72215442,0.001
EWAS56,mean,55.41692599,0.001
EWAS56,precision,61.33094254,0.001
EWAS56,probe.type,8.248693829,0.001
EWAS56,refgene.pos,3.480482192,0.14
EWAS56,sd.b,67.42597537,0.001
EWAS56,sd.m,30.53070722,0.001
EWAS57,chr,0.960593435,0.886
EWAS57,cpg.loc,3.035603795,0.22
EWAS57,dhs,2.86094853,0.139
EWAS57,dip,2.418696122,0.783
EWAS57,mad,4.034092593,0.288
EWAS57,mean,5.352228017,0.124
EWAS57,precision,2.5433889,0.747
EWAS57,probe.type,1.229593483,0.727
EWAS57,refgene.pos,3.433575265,0.162
EWAS57,sd.b,3.583757332,0.433
EWAS57,sd.m,3.09596012,0.554
EWAS58,chr,1.759133046,0.593
EWAS58,cpg.loc,6.858326916,0.013
EWAS58,dhs,3.247146111,0.13
